treatment,species,individual,year,abundance,notes id,order,notes_id,guild,bodylength_mm,stage
fertilised,Tillia,TF2,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,20,Juvenile
fertilised,Tillia,TF2,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,17,Juvenile
fertilised,Tillia,TF2,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.2,Adult
fertilised,Tillia,TF2,2020,1,Psocoptera,Psocoptera,NA,No relationship,2,Adult
fertilised,Tillia,TF2,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.1,Adult
fertilised,Tillia,TF2,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.1,Adult
fertilised,Tillia,TF2,2020,1,Araneae,Araneae,NA,Predator,2.8,Adult
fertilised,Tillia,TF2,2020,1,Araneae,Araneae,NA,Predator,6.1,Adult
fertilised,Tillia,TF2,2020,1,Araneae,Araneae,NA,Predator,4.1,Adult
fertilised,Tillia,TF2,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,40,NA
fertilised,Tillia,TF2,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,40,NA
fertilised,Tillia,TF2,2020,1,Trichoptera,Trichoptera,NA,No relationship,3,Adult
fertilised,Tillia,TF2,2020,1,Diptera,Diptera,Celiphidae,No relationship,2.1,Adult
no predators+fertilised,Alnus,APF16,2020,1,Coleoptera,Coleoptera,Curculionidae,Chewing,5,Adult
no predators+fertilised,Alnus,APF16,2020,1,Coleoptera,Coleoptera,Curculionidae,Chewing,2.2,Adult
no predators+fertilised,Alnus,APF16,2020,1,Coleoptera,Coleoptera,Chrysomelidae,Chewing,2.4,Adult
no predators+fertilised,Alnus,APF16,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,14.2,Juvenile
no predators+fertilised,Alnus,APF16,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,14,Juvenile
no predators+fertilised,Alnus,APF16,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,13,Juvenile
no predators+fertilised,Alnus,APF16,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,12.8,Juvenile
no predators+fertilised,Alnus,APF16,2020,1,Araneae,Araneae,NA,Predator,4.9,Adult
no predators+fertilised,Alnus,APF16,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators+fertilised,Alnus,APF16,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.2,Adult
no predators+fertilised,Alnus,APF16,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators+fertilised,Alnus,APF16,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,2.9,Adult
no predators+fertilised,Alnus,APF16,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.2,Adult
no predators+fertilised,Alnus,APF16,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators+fertilised,Alnus,APF16,2020,1,Heteroptera,Heteroptera,NA,Sucking,5,Juvenile
no predators+fertilised,Alnus,APF16,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,4.8,Juvenile
no predators+fertilised,Alnus,APF16,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.2,Adult
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,NA
no predators+fertilised,Alnus,APF16,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,NA
no predators,Tillia,TPC25,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,6.1,Juvenile
no predators,Tillia,TPC25,2020,1,Collembola,Collembola,Entomobryidae,No relationship,1.2,Adult
no predators,Tillia,TPC25,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.2,Adult
no predators,Tillia,TPC25,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.4,Adult
no predators,Tillia,TPC25,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.1,Adult
no predators,Tillia,TPC25,2020,1,Psocoptera,Psocoptera,NA,No relationship,1.9,Adult
no predators,Tillia,TPC25,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,4.1,Adult
no predators,Tillia,TPC25,2020,1,Coleoptera,Coleoptera,Nitidulidae,No relationship,1,Adult
no predators,Tillia,TPC25,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.8,Adult
no predators,Tillia,TPC25,2020,1,Sternorrhyncha,Heteroptera,NA,Sucking,2,Adult
no predators,Tillia,TPC25,2020,1,Sternorrhyncha,Heteroptera,NA,Sucking,2.1,Adult
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,0.9,Adult
control,Alnus,AC10,2020,1,Araneae,Araneae,NA,Predator,1,Adult
control,Alnus,AC11,2020,1,Auchenorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
control,Alnus,AC12,2020,1,Araneae,Araneae,NA,Predator,1,Adult
control,Alnus,AC12,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
no predators,Tillia,TPC24,2020,1,Diptera,Diptera,Asilidae,Predator,9.7,Adult
no predators,Tillia,TPC24,2020,1,Heteroptera,Heteroptera,NA,Sucking,3,Adult
no predators,Tillia,TPC24,2020,1,Heteroptera,Heteroptera,NA,Sucking,2.9,Adult
no predators,Tillia,TPC24,2020,1,Sternorrhyncha,Heteroptera,NA,Sucking,2,Adult
no predators,Tillia,TPC24,2020,1,Heteroptera,Heteroptera,NA,Sucking,2,Juvenile
no predators,Tillia,TPC24,2020,1,Hymenoptera,Hymenoptera,Megaspilidae,Predator,1.9,Adult
no predators,Tillia,TPC24,2020,1,Psocoptera,Psocoptera,p,No relationship,1.5,Adult
no predators,Tillia,TPC24,2020,1,Diptera,Diptera,Brachycera,No relationship,1.7,Adult
no predators,Tillia,TPC27,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,4,Juvenile
no predators,Tillia,TPC27,2020,1,Heteroptera,Heteroptera,NA,Sucking,2,Juvenile
no predators,Tillia,TPC27,2020,1,Diptera,Diptera,Brachycera,No relationship,1.6,Adult
no predators,Tillia,TPC27,2020,1,Araneae,Araneae,NA,Predator,2.5,Adult
no predators,Tillia,TPC22,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.9,NA
no predators,Tillia,TPC22,2020,1,Araneae,Araneae,NA,Predator,1.1,Adult
no predators,Tillia,TPC22,2020,1,Araneae,Araneae,NA,Predator,2.4,Adult
no predators,Tillia,TPC22,2020,1,Sternorrhyncha,Heteroptera,NA,Sucking,2,NA
no predators,Tillia,TPC21,2021,1,Coleoptera,Coleoptera,ELATERIDAE,Chewing,18,Adult
no predators,Tillia,TPC22,2020,1,Coleoptera,Coleoptera,Cleridae,Predator,9,Adult
no predators,Tillia,TPC22,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.2,Adult
no predators,Tillia,TPC22,2020,1,Diptera,Diptera,Asilidae,Predator,4.5,Adult
no predators,Tillia,TPC22,2020,1,Diptera,Diptera,Asilidae,Predator,5,Adult
no predators,Tillia,TPC22,2020,1,Diptera,Diptera,Brachycera,No relationship,3,Adult
control,Tillia,TC14,2020,1,Hymenoptera,Hymenoptera,Chalcidoidea,Predator,1,Adult
control,Tillia,TC8,2020,1,Heteroptera,Heteroptera,NA,Sucking,1,Juvenile
control,Tillia,TC8,2021,1,araneae,araneae,NA,Predator,1,NA
control,Alnus,AC9,2021,1,araneae,araneae,NA,Predator,1,NA
fertilised,Alnus,AF3,2020,1,Diptera,Diptera,NA,No relationship,11,Adult
fertilised,Alnus,AF3,2020,1,Coleoptera,Coleoptera,Elateridae,Chewing,12,Adult
fertilised,Alnus,AF3,2020,1,Araneae,Araneae,NA,Predator,2.1,Adult
fertilised,Alnus,AF3,2020,1,Lepidoptera,Lepidoptera,NA,Chewing,6.5,Juvenile
fertilised,Alnus,AF3,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,15.6,Juvenile
fertilised,Alnus,AF3,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,9.5,Juvenile
fertilised,Alnus,AF3,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,10.4,Juvenile
fertilised,Alnus,AF3,2020,1,Lepidoptera,Lepidoptera,NA,Chewing,10.5,Juvenile
fertilised,Alnus,AF3,2020,1,Lepidoptera,Lepidoptera,NA,Chewing,9.9,Juvenile
fertilised,Alnus,AF3,2020,1,Diptera,Diptera,Asilidae,Predator,9.4,Adult
fertilised,Alnus,AF3,2020,1,Hymenoptera,Hymenoptera,Braconidae,Predator,3.8,Adult
fertilised,Tillia,TF1,2020,1,Araneae,Araneae,Thomisidae,Predator,5.1,Adult
fertilised,Tillia,TF1,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,16,Juvenile
fertilised,Tillia,TF1,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,15.8,Juvenile
fertilised,Tillia,TF1,2020,1,Heteroptera,Heteroptera,NA,Sucking,6.6,Adult
fertilised,Tillia,TF1,2020,1,Araneae,Araneae,NA,Predator,2.3,Adult
fertilised,Tillia,TF1,2020,1,Diptera,Diptera,Asilidae,Predator,7.5,Adult
fertilised,Tillia,TF1,2020,1,Diptera,Diptera,Asilidae,Predator,6.9,Adult
fertilised,Tillia,TF1,2020,1,Coleoptera,Coleoptera,Carabidae,Predator,4,Adult
fertilised,Tillia,TF1,2020,1,Coleoptera,Coleoptera,Chrysomelidae,Chewing,3.5,Adult
fertilised,Tillia,TF1,2020,1,Coleoptera,Coleoptera,Elateridae,Chewing,3,Adult
fertilised,Tillia,TF1,2020,1,Coleoptera,Coleoptera,Elateridae,Chewing,3.1,Adult
fertilised,Tillia,TF1,2020,1,Coleoptera,Coleoptera,Chrysomelidae,Chewing,2.3,Adult
fertilised,Tillia,TF1,2020,1,Thysanoptera,Thysanoptera,NA,Sucking,0.9,Adult
fertilised,Tillia,TF1,2020,1,Heteroptera,Heteroptera,Reduviidae,Predator,2.5,Juvenile
fertilised,Tillia,TF1,2020,1,Hymenoptera,Hymenoptera,Chalcidoidea,Predator,2,Adult
fertilised,Tillia,TF1,2020,1,Diptera,Diptera,Asilidae,Predator,4,Adult
fertilised,Tillia,TF1,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.9,Adult
fertilised,Tillia,TF1,2020,1,Psocoptera,Psocoptera,NA,No relationship,1.7,Adult
fertilised,Tillia,TF1,2020,1,Psocoptera,Psocoptera,NA,No relationship,2,Adult
fertilised,Tillia,TF1,2020,1,Diptera,Diptera,NA,Predator,3.9,Adult
fertilised,Tillia,TF1,2020,1,Diptera,Diptera,NA,Predator,3.5,Adult
fertilised,Tillia,TF1,2020,1,Hymenoptera,Hymenoptera,Platygastridae,Predator,1.4,Adult
no predators,Alnus,APC25,2020,1,Auchenorrhyncha,Heteroptera,NA,Sucking,14,Juvenile
no predators,Tillia,TPC28,2020,1,Tenebrionidae,Coleoptera,NA,Chewing,2,Adult
no predators,Tillia,TPC25,2020,1,Coleoptera,Coleoptera,Chrysomelidae,Chewing,2.2,Adult
no predators,Alnus,APC25,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,5,Juvenile
no predators,Alnus,APC25,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,5.4,Juvenile
no predators,Alnus,APC25,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,5.9,Juvenile
no predators,Alnus,APC25,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,5.3,Juvenile
no predators,Alnus,APC25,2020,1,Diptera,Diptera,Asilidae,Predator,9,Adult
no predators,Alnus,APC25,2020,1,Diptera,Diptera,NA,Predator,3,Adult
no predators,Alnus,APC25,2020,1,Araneae,Araneae,NA,Predator,5,Adult
no predators,Alnus,APC25,2020,1,Araneae,Araneae,NA,Predator,2.8,Adult
no predators,Alnus,APC25,2020,1,Araneae,Araneae,NA,Predator,1.9,Adult
no predators,Alnus,APC23,2020,1,Coleoptera,Coleoptera,Chrysomelidae,Chewing,2.3,Adult
no predators,Alnus,APC27,2021,1,Coleoptera,Coleoptera,curculionidae,Chewing,2.8,Adult
fertilised,Tillia,TF7,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,7,Juvenile
fertilised,Tillia,TF7,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,15,Juvenile
fertilised,Tillia,TF7,2020,1,Lepidoptera,Lepidoptera,NA,Chewing,12.3,Juvenile
fertilised,Tillia,TF7,2020,1,Lepidoptera,Lepidoptera,NA,Chewing,13.4,Juvenile
fertilised,Tillia,TF7,2020,1,Hymenoptera,Hymenoptera,NA,Chewing,14.6,Juvenile
fertilised,Tillia,TF7,2020,1,Diptera,Diptera,Asilidae,Predator,9.2,Adult
fertilised,Tillia,TF7,2020,1,Diptera,Diptera,Asilidae,Predator,11.8,Adult
fertilised,Tillia,TF7,2020,1,Diptera,Diptera,Asilidae,Predator,10.3,Adult
fertilised,Tillia,TF7,2020,1,Coleoptera,Coleoptera,Curculionidae,Chewing,5.8,Adult
fertilised,Tillia,TF7,2020,1,Araneae,Araneae,NA,Predator,3.3,Adult
fertilised,Tillia,TF7,2020,1,Araneae,Araneae,NA,Predator,1.8,Adult
fertilised,Tillia,TF7,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,6.5,Juvenile
fertilised,Tillia,TF7,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,5.1,Juvenile
fertilised,Tillia,TF7,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.9,NA
fertilised,Tillia,TF7,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.5,NA
fertilised,Tillia,TF7,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,2,NA
fertilised,Tillia,TF7,2020,1,Hymenoptera,Hymenoptera,Braconidae,Predator,1.9,Adult
fertilised,Tillia,TF7,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.6,Adult
fertilised,Tillia,TF7,2020,1,Diptera,Diptera,NA,Predator,4.1,Adult
fertilised,Tillia,TF7,2020,1,Hymenoptera,Hymenoptera,Megaspilidae,Predator,3.9,Adult
fertilised,Tillia,TF7,2020,1,Hymenoptera,Hymenoptera,Braconidae,Predator,2.5,Adult
fertilised,Tillia,TF7,2020,1,Diptera,Diptera,Anisopodidae,No relationship,4.3,Adult
fertilised,Tillia,TF7,2020,1,Diptera,Diptera,Platypalpus1?,Predator,3.1,Adult
fertilised,Tillia,TF7,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.9,Adult
fertilised,Tillia,TF7,2020,1,Hymenoptera,Hymenoptera,Platygastridae,Predator,3,Adult
fertilised,Tillia,TF7,2020,1,Hymenoptera,Hymenoptera,Braconidae,Predator,3.1,Adult
fertilised,Tillia,TF7,2020,1,Hymenoptera,Hymenoptera,Braconidae,Predator,2.8,Adult
fertilised,Tillia,TF7,2020,1,Hymenoptera,Hymenoptera,Ichneumonidae,Predator,4.6,Adult
fertilised,Tillia,TF7,2020,1,Hymenoptera,Hymenoptera,Ichneumonidae,Predator,4.1,Adult
control,Alnus,AC9,2021,1,collembola,collembola,NA,No relationship,1,NA
control,Tillia,TC13,2021,1,Hymenoptera,Hymenoptera,CHALCIDOIDEA,Predator,1,Adult
control,Tillia,TC13,2021,1,opiliones,opiliones,NA,Predator,1,NA
control,Tillia,TC13,2021,1,araneae,araneae,NA,Predator,1,NA
control,Alnus,AC14,2021,1,Ixodoidea,Ixodoidea,NA,No relationship,1,Juvenile
control,Tillia,TC14,2021,1,diptera,diptera,NA,No relationship,1,Adult
control,Tillia,TC14,2021,1,diptera,diptera,NA,No relationship,1,Adult
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,Juvenile
control,Alnus,AC12,2020,1,Araneae,Araneae,NA,Predator,1.1,Adult
control,Tillia,TC8,2021,1,Hymenoptera,Hymenoptera,Platygastridae,Predator,1.1,Adult
control,Tillia,TC9,2021,1,araneae,araneae,NA,Chewing,1.2,NA
no predators,Tillia,TPC27,2021,1,Coleoptera,Coleoptera,curculionidae,Chewing,3,Adult
no predators,Alnus,APC27,2021,1,Coleoptera,Coleoptera,CHRYSOMELIDAE,Chewing,3.2,Adult
no predators,Alnus,APC27,2021,1,Coleoptera,Coleoptera,CHRYSOMELIDAE,Chewing,3.3,Adult
no predators,Alnus,APC27,2020,1,Araneae,Araneae,NA,Predator,7.5,Adult
no predators,Alnus,APC27,2021,1,Coleoptera,Coleoptera,curculionidae,Chewing,3.3,Adult
no predators,Tillia,TPC22,2021,1,Coleoptera,Coleoptera,CHRYSOMELIDAE,Chewing,4,Adult
no predators,Alnus,APC27,2021,1,Coleoptera,Coleoptera,CHRYSOMELIDAE,Chewing,4.2,Adult
no predators,Tillia,TPC22,2021,1,Coleoptera,Coleoptera,curculionidae,Chewing,4.6,Adult
no predators,Alnus,APC27,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,4.3,Juvenile
no predators,Alnus,APC27,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,4.2,Juvenile
no predators,Alnus,APC27,2020,1,Heteroptera,Heteroptera,NA,Sucking,1.5,Juvenile
no predators,Alnus,APC27,2020,1,Auchenorrhyncha,Heteroptera,NA,Sucking,2.2,Juvenile
no predators,Alnus,APC27,2020,1,Heteroptera,Heteroptera,NA,Sucking,2.9,Juvenile
no predators,Tillia,TPC23,2020,1,Lepidoptera,Lepidoptera,NA,Chewing,5,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
control,Tillia,TC9,2020,1,Collembola,Collembola,Entomobryidae,No relationship,1.2,Adult
control,Tillia,TC9,2020,1,Collembola,Collembola,Entomobryidae,No relationship,1.2,Adult
control,Tillia,TC9,2020,1,Heteroptera,Heteroptera,NA,Sucking,1.2,Juvenile
control,Tillia,TC8,2021,1,Hymenoptera,Hymenoptera,Platygastridae,Predator,1.2,Adult
control,Alnus,AC9,2021,1,Heteroptera,Heteroptera,NA,Sucking,1.2,Juvenile
control,Tillia,TC12,2021,1,Hymenoptera,Hymenoptera,Platygastridae,Predator,1.2,Adult
